Date,Open,High,Low,Close,Adj Close,Volume
2018-12-27,69.923660,71.927483,69.427483,71.927483,61.720554,13577154
2018-12-28,72.404579,73.072517,71.402672,71.917938,61.712368,13180696
2018-12-31,72.347328,73.187019,72.194656,72.910301,62.563915,9687502
2019-01-02,71.841606,72.509544,71.183205,72.127861,61.892494,15120125
2019-01-03,72.099236,72.490456,70.467560,70.648857,60.623356,13910628
2019-01-04,71.316795,72.996185,71.221375,72.776718,62.449272,14753115
2019-01-07,72.662216,72.967560,71.956108,71.975189,61.761505,15795142
2019-01-08,72.395035,72.719467,71.841606,72.509544,62.220024,11896686
2019-01-09,72.414124,72.814888,71.870232,71.956108,61.745106,11916284
2019-01-10,72.213737,72.213737,70.104965,71.068703,60.983639,19134070
2019-01-11,71.278625,71.507637,70.753815,71.469467,61.327534,9878029
2019-01-14,70.887405,71.030533,69.751907,70.009544,60.074776,15669486
2019-01-15,69.751907,71.459923,69.751907,71.087784,61.000000,13102096
2019-01-16,71.316795,72.299622,71.059158,71.192749,61.090073,15272504
2019-01-17,70.906487,72.299622,70.906487,72.137405,61.900684,16969321
2019-01-18,72.652672,72.833969,72.013359,72.395035,62.121754,14980741
2019-01-22,72.108780,72.709923,71.908394,72.356873,62.088997,10568766
2019-01-23,72.089699,72.242363,71.316795,71.984734,61.769665,14369233
2019-01-24,71.717560,71.717560,69.064888,69.818703,59.911015,21986621
2019-01-25,70.438934,70.458015,68.816795,69.608780,59.730888,14054099
2019-01-28,69.179390,69.723282,68.750000,69.580154,59.706318,13376672
2019-01-29,69.561066,70.305344,69.312981,69.875954,59.960144,11966693
2019-01-30,70.095421,70.429390,69.675575,70.009544,60.074776,13941230
2019-01-31,69.799622,71.393127,69.761452,71.020988,60.942688,16797658
2019-02-01,72.490456,73.940842,71.879768,72.948471,62.596668,15941757
2019-02-04,72.471375,73.368324,72.213737,73.349236,62.940556,11824165
2019-02-05,73.835876,74.790077,73.530533,73.616409,63.169811,12955690
2019-02-06,73.320610,74.160301,73.120232,73.845421,63.366318,8375721
2019-02-07,73.416031,73.597328,72.624046,73.301529,62.899628,9661407
2019-02-08,73.234734,73.988548,73.062981,73.969467,63.472767,9266940
2019-02-11,74.236641,74.274811,72.719467,73.196564,62.809555,13803942
2019-02-12,73.750000,75.314888,73.578247,74.923660,64.291557,13676086
2019-02-13,74.961830,75.543892,74.856873,75.400764,64.700958,10980106
2019-02-14,75.505722,75.906487,75.085876,75.324425,64.635452,8577042
2019-02-15,76.011452,76.459923,75.639313,76.154579,65.347794,10886100
2019-02-19,76.135498,76.459923,75.458015,75.610687,64.881104,9653547
2019-02-20,75.381676,75.896950,75.200378,75.791985,65.036682,8993517
2019-02-21,75.553436,76.364502,75.524811,76.173660,65.364166,7740633
2019-02-22,76.116409,77.156487,76.116409,77.070610,66.133842,8337469
2019-02-25,77.156487,77.280533,76.326340,76.698471,65.814514,9741265
2019-02-26,76.832062,77.385498,76.335876,77.041985,66.109283,8927912
2019-02-27,76.851143,77.566795,76.746185,76.927483,66.011017,7852978
2019-02-28,76.841606,78.015266,76.841606,77.566795,66.559608,11588365
2019-03-01,78.015266,78.177483,77.452293,77.910301,66.854385,10624205
2019-03-04,78.272903,78.358780,76.841606,77.643127,66.625107,8522755
2019-03-05,77.748093,78.272903,77.500000,77.958015,66.895309,8698190
2019-03-06,77.862595,78.015266,76.622139,77.061066,66.125648,8167169
2019-03-07,77.318703,77.395035,76.374046,76.765266,65.871811,10925505
2019-03-08,76.536263,76.908394,75.429390,76.145035,65.339600,11716326
2019-03-11,76.679390,77.318703,76.402672,77.166031,66.215736,9126613
